date,resolution_ms,source,target,lag_ms,n_impulses,response_return,response_signed_notional,p_return,p_flow,q_return,q_flow,significant
2024-03-05,250,BTCUSDT,SOLUSDT,100,343,2.6382548661453214e-05,1959.0963067055318,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,SOLUSDT,250,343,2.6382548661453214e-05,1959.0963067055318,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,SOLUSDT,500,343,3.8888975106379794e-05,2526.594330612239,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,SOLUSDT,1000,343,4.235590793378767e-05,1415.335156268209,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,SOLUSDT,2000,343,5.4968920264588606e-05,2445.524155102034,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,SOLUSDT,5000,343,1.7884285783346695e-05,-11937.084932944617,0.01,0.01,0.01,0.01,True
2024-03-05,250,ETHUSDT,BTCUSDT,10,338,2.5237857572491104e-05,17441.749118934866,0.01,0.01,0.01,0.01,True
2024-03-05,250,ETHUSDT,BTCUSDT,25,338,2.5237857572491104e-05,17441.749118934866,0.01,0.01,0.01,0.01,True
2024-03-05,250,ETHUSDT,BTCUSDT,50,338,2.5237857572491104e-05,17441.749118934866,0.01,0.01,0.01,0.01,True
2024-03-05,250,ETHUSDT,BTCUSDT,100,338,2.5237857572491104e-05,17441.749118934866,0.01,0.01,0.01,0.01,True
2024-03-05,250,ETHUSDT,BTCUSDT,250,338,2.5237857572491104e-05,17441.749118934866,0.01,0.01,0.01,0.01,True
2024-03-05,250,ETHUSDT,BTCUSDT,500,338,2.378899080778125e-05,32273.955126627134,0.01,0.01,0.01,0.01,True
2024-03-05,250,ETHUSDT,BTCUSDT,1000,338,3.515225961170836e-05,46008.95060088746,0.01,0.01,0.01,0.01,True
2024-03-05,250,ETHUSDT,BTCUSDT,2000,338,3.577383223150228e-05,97731.27098609452,0.01,0.01,0.01,0.01,True
2024-03-05,250,ETHUSDT,BTCUSDT,5000,338,1.9255814398631118e-05,97604.67972662683,0.01,0.01,0.01,0.01,True
2024-03-05,250,ETHUSDT,ETHUSDT,10,338,1.6486969093533534e-05,179.6413482248562,0.01,0.01,0.01,0.01,True
2024-03-05,250,ETHUSDT,ETHUSDT,25,338,1.6486969093533534e-05,179.6413482248562,0.01,0.01,0.01,0.01,True
2024-03-05,250,ETHUSDT,ETHUSDT,50,338,1.6486969093533534e-05,179.6413482248562,0.01,0.01,0.01,0.01,True
2024-03-05,250,ETHUSDT,ETHUSDT,100,338,1.6486969093533534e-05,179.6413482248562,0.01,0.01,0.01,0.01,True
2024-03-05,250,ETHUSDT,ETHUSDT,250,338,1.6486969093533534e-05,179.6413482248562,0.01,0.01,0.01,0.01,True
