idx,timestamp_us,kind,direction,score
7633,1704067963500000,imbalance_change,1,15.99436180069569
7659,1704067966100000,signed_liquidity_delta,1,11.38496583571283
7669,1704067967100000,signed_liquidity_delta,1,6.073025074885167
7689,1704067969100000,imbalance_change,-1,9.098343602429336
7718,1704067972000000,imbalance_change,-1,21.303334821434838
7737,1704067973900000,imbalance_change,-1,6.4060987893737
7765,1704067976700000,imbalance_change,1,17.39158711782438
7820,1704067982200000,signed_liquidity_delta,-1,32.512228209697035
7837,1704067983900000,imbalance_change,1,13.363040893469524
7877,1704067987900000,imbalance_change,1,36.53150208354984
7898,1704067990000000,signed_liquidity_delta,1,32.782963479742165
7931,1704067993300000,imbalance_change,-1,14.301288788409082
7945,1704067994700000,imbalance_change,1,12.029029911682462
7969,1704067997100000,imbalance_change,1,7.888556764610112
8001,1704068000300000,signed_liquidity_delta,1,20.11213552329476
8011,1704068001300000,signed_liquidity_delta,1,26.238890333853625
8072,1704068007400000,imbalance_change,-1,23.95238645072346
8091,1704068009300000,removed_liquidity,-1,7.93901160223682
8139,1704068014100000,removed_liquidity,1,8.006287580839004
8162,1704068016400000,imbalance_change,-1,32.1054334868734
8172,1704068017400000,signed_liquidity_delta,1,6.94313380404755
8186,1704068018800000,removed_liquidity,-1,6.425641140343756
8202,1704068020400000,imbalance_change,1,10.595108684742364
8212,1704068021400000,imbalance_change,1,6.313946929968452
8241,1704068024300000,imbalance_change,1,10.158590512376149
8259,1704068026100000,imbalance_change,1,8.348199136819595
8338,1704068034000000,imbalance_change,-1,31.167489812809254
8353,1704068035500000,imbalance_change,-1,10.297184960507982
8368,1704068037000000,imbalance_change,-1,15.62893110672479
8393,1704068039500000,removed_liquidity,1,7.7828670895659675
8415,1704068041700000,signed_liquidity_delta,-1,49.58211306843843
8434,1704068043600000,imbalance_change,-1,9.40874638189072
8447,1704068044900000,imbalance_change,1,8.321260616861382
8461,1704068046300000,imbalance_change,1,45.33694572294106
8471,1704068047300000,imbalance_change,1,6.63344027720766
8485,1704068048700000,imbalance_change,1,22.533327148845633
8505,1704068050700000,imbalance_change,-1,7.9114583983649425
8518,1704068052000000,signed_liquidity_delta,-1,19.897216580599977
8545,1704068054700000,signed_liquidity_delta,1,32.7177574898469
8562,1704068056400000,removed_liquidity,1,10.926957306531927
8587,1704068058900000,imbalance_change,1,9.739931638955383
8598,1704068060000000,signed_liquidity_delta,1,9.457998422328034
8609,1704068061100000,imbalance_change,-1,8.48842747997933
8677,1704068067900000,imbalance_change,1,13.422080859618248
8696,1704068069800000,imbalance_change,-1,6.260574596948205
8708,1704068071000000,imbalance_change,1,8.653384201763384
